1,41.318230,-81.587753,2017-03-20T00:31:09.546Z[UTC]
0.000000,2.950000,331.501007,2017-03-20T04:00Z[UTC],RETRIEVED
0.000000,1.720000,69.002701,2017-03-20T07:00Z[UTC],RETRIEVED
20.000000,2.840000,171.003998,2017-03-20T10:00Z[UTC],RETRIEVED
20.000000,2.890000,176.503998,2017-03-20T13:00Z[UTC],RETRIEVED
0.000000,3.510000,180.003998,2017-03-20T16:00Z[UTC],RETRIEVED
20.000000,5.410000,200.501007,2017-03-20T19:00Z[UTC],RETRIEVED
88.000000,5.320000,210.503006,2017-03-20T22:00Z[UTC],RETRIEVED
92.000000,5.210000,200.001999,2017-03-21T01:00Z[UTC],RETRIEVED
92.000000,4.630000,189.000000,2017-03-21T04:00Z[UTC],RETRIEVED
92.000000,3.000000,227.505005,2017-03-21T07:00Z[UTC],RETRIEVED
80.000000,5.190000,335.002014,2017-03-21T10:00Z[UTC],RETRIEVED
88.000000,6.400000,6.002320,2017-03-21T13:00Z[UTC],RETRIEVED
32.000000,7.090000,7.502750,2017-03-21T16:00Z[UTC],RETRIEVED
36.000000,4.720000,19.000000,2017-03-21T19:00Z[UTC],RETRIEVED
56.000000,4.180000,14.509200,2017-03-21T22:00Z[UTC],RETRIEVED
92.000000,2.620000,325.500000,2017-03-22T01:00Z[UTC],RETRIEVED
92.000000,4.830000,273.505005,2017-03-22T04:00Z[UTC],RETRIEVED
64.000000,6.870000,269.502014,2017-03-22T07:00Z[UTC],RETRIEVED
20.000000,9.330000,342.000000,2017-03-22T10:00Z[UTC],RETRIEVED
68.000000,10.420000,352.006012,2017-03-22T13:00Z[UTC],RETRIEVED
56.000000,11.720000,15.500700,2017-03-22T16:00Z[UTC],RETRIEVED
12.000000,12.480000,12.010400,2017-03-22T19:00Z[UTC],RETRIEVED
0.000000,11.210000,9.508790,2017-03-22T22:00Z[UTC],RETRIEVED
0.000000,8.970000,7.003020,2017-03-23T01:00Z[UTC],RETRIEVED
0.000000,6.310000,4.500670,2017-03-23T04:00Z[UTC],RETRIEVED
0.000000,5.140000,20.501499,2017-03-23T07:00Z[UTC],RETRIEVED
0.000000,3.490000,31.000799,2017-03-23T10:00Z[UTC],RETRIEVED
0.000000,2.930000,67.505898,2017-03-23T13:00Z[UTC],RETRIEVED
0.000000,4.970000,108.000999,2017-03-23T16:00Z[UTC],RETRIEVED
